"block_label","loading_design","H_true","G_true","n","p","n_reps","mean_factor_score_rmse","sd_factor_score_rmse","lower_factor_score_rmse","upper_factor_score_rmse"
"balanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",100,2000,25,0.220358817277296,0.0984807023124396,0.0233974126524168,0.417320221902175
"balanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",500,2000,25,0.101394499555036,0.00702248252414642,0.0873495345067434,0.115439464603329
"balanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",1000,2000,25,0.0948455542354716,0.00414753229970098,0.0865504896360696,0.103140618834874
"balanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",2000,2000,25,0.09009327748623,0.00293213511340426,0.0842290072594215,0.0959575477130386
"unbalanced","balanced_moderate_dense_signed_cross",3,"2-2-2",100,250,25,0.201556584542627,0.0185914825179175,0.164373619506792,0.238739549578462
"unbalanced","balanced_moderate_dense_signed_cross",3,"2-2-2",500,250,25,0.176234350011163,0.0041432585198893,0.167947832971385,0.184520867050942
"unbalanced","balanced_moderate_dense_signed_cross",3,"2-2-2",1000,250,25,0.176074626313957,0.00396851993296371,0.16813758644803,0.184011666179884
"unbalanced","balanced_moderate_dense_signed_cross",3,"2-2-2",2000,250,25,0.186886910453119,0.00535695620970469,0.17617299803371,0.197600822872529
"unbalanced","balanced_moderate_dense_signed_cross",3,"2-2-2",100,500,25,0.155543829055412,0.0128207651662257,0.129902298722961,0.181185359387863
"unbalanced","balanced_moderate_dense_signed_cross",3,"2-2-2",500,500,25,0.13206870293954,0.00343009300534852,0.125208516928843,0.138928888950237
"unbalanced","balanced_moderate_dense_signed_cross",3,"2-2-2",1000,500,25,0.130486501270955,0.00331640019681562,0.123853700877324,0.137119301664587
"unbalanced","balanced_moderate_dense_signed_cross",3,"2-2-2",2000,500,25,0.129745052570344,0.00157904225826234,0.126586968053819,0.132903137086869
"unbalanced","balanced_moderate_dense_signed_cross",3,"2-2-2",100,1000,25,0.129187107392206,0.0170711466569252,0.0950448140783557,0.163329400706057
"unbalanced","balanced_moderate_dense_signed_cross",3,"2-2-2",500,1000,25,0.0992688163578819,0.00413969647622883,0.0909894234054242,0.10754820931034
"unbalanced","balanced_moderate_dense_signed_cross",3,"2-2-2",1000,1000,25,0.0971127207919906,0.00232257661928575,0.0924675675534191,0.101757874030562
"unbalanced","balanced_moderate_dense_signed_cross",3,"2-2-2",2000,1000,25,0.0954727738191872,0.00158165109100354,0.0923094716371801,0.0986360760011943
"unbalanced","balanced_moderate_dense_signed_cross",3,"2-2-2",100,2000,25,0.114842078511113,0.0170777403377415,0.0806865978356305,0.148997559186596
"unbalanced","balanced_moderate_dense_signed_cross",3,"2-2-2",500,2000,25,0.0772593631703306,0.00641792752543722,0.0644235081194561,0.090095218221205
"unbalanced","balanced_moderate_dense_signed_cross",3,"2-2-2",1000,2000,25,0.0725411448706346,0.00317410227031553,0.0661929403300035,0.0788893494112656
"unbalanced","balanced_moderate_dense_signed_cross",3,"2-2-2",2000,2000,25,0.0704054157311333,0.0013575173428727,0.0676903810453879,0.0731204504168787
"unbalanced","balanced_moderate_dense_signed_cross",3,"3-3-3",100,250,25,0.278640958451115,0.0888290383102742,0.100982881830566,0.456299035071663
"unbalanced","balanced_moderate_dense_signed_cross",3,"3-3-3",500,250,25,0.202854567524845,0.00860368046395569,0.185647206596934,0.220061928452757
"unbalanced","balanced_moderate_dense_signed_cross",3,"3-3-3",1000,250,25,0.19862487550372,0.00446497805822924,0.189694919387261,0.207554831620178
"unbalanced","balanced_moderate_dense_signed_cross",3,"3-3-3",2000,250,25,0.205527543051261,0.00926959093486738,0.186988361181526,0.224066724920996
"unbalanced","balanced_moderate_dense_signed_cross",3,"3-3-3",100,500,25,0.234769846559834,0.066614201253384,0.101541444053066,0.367998249066602
"unbalanced","balanced_moderate_dense_signed_cross",3,"3-3-3",500,500,25,0.147445879238124,0.00589199521867124,0.135661888800781,0.159229869675466
"unbalanced","balanced_moderate_dense_signed_cross",3,"3-3-3",1000,500,25,0.145834932063576,0.00550211305422244,0.134830705955131,0.156839158172021
"unbalanced","balanced_moderate_dense_signed_cross",3,"3-3-3",2000,500,25,0.143945472482071,0.00297334995181021,0.137998772578451,0.149892172385692
"unbalanced","balanced_moderate_dense_signed_cross",3,"3-3-3",100,1000,25,0.201807054668214,0.0749741993562377,0.0518586559557389,0.35175545338069
"unbalanced","balanced_moderate_dense_signed_cross",3,"3-3-3",500,1000,25,0.109469580568437,0.00489666699718118,0.0996762465740744,0.119262914562799
"unbalanced","balanced_moderate_dense_signed_cross",3,"3-3-3",1000,1000,25,0.107833271861904,0.00414070807300791,0.0995518557158881,0.11611468800792
"unbalanced","balanced_moderate_dense_signed_cross",3,"3-3-3",2000,1000,25,0.103477846633428,0.00276000641834571,0.0979578337967362,0.108997859470119
"unbalanced","balanced_moderate_dense_signed_cross",3,"3-3-3",100,2000,25,0.167535395536981,0.0535992639605464,0.0603368676158882,0.274733923458074
"unbalanced","balanced_moderate_dense_signed_cross",3,"3-3-3",500,2000,25,0.0851104050198973,0.00699486266978851,0.0711206796803203,0.0991001303594743
"unbalanced","balanced_moderate_dense_signed_cross",3,"3-3-3",1000,2000,25,0.0799985205212169,0.00426220590516856,0.0714741087108798,0.088522932331554
"unbalanced","balanced_moderate_dense_signed_cross",3,"3-3-3",2000,2000,25,0.0770887444707627,0.00291448637098289,0.0712597717287969,0.0829177172127284
"unbalanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",100,250,25,0.235152545029953,0.0146003188801623,0.205951907269628,0.264353182790277
"unbalanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",500,250,25,0.196367775002199,0.00348500290491858,0.189397769192361,0.203337780812036
"unbalanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",1000,250,25,0.204716382583792,0.00557345456308919,0.193569473457613,0.21586329170997
"unbalanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",2000,250,25,0.215161166129358,0.00421748894445687,0.206726188240444,0.223596144018272
"unbalanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",100,500,25,0.178513732297843,0.0119207994965188,0.154672133304805,0.20235533129088
"unbalanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",500,500,25,0.146910399988713,0.00352297972344746,0.139864440541818,0.153956359435608
"unbalanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",1000,500,25,0.144488674240022,0.00235277894601292,0.139783116347996,0.149194232132048
"unbalanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",2000,500,25,0.14476920429618,0.0020225131581012,0.140724177979978,0.148814230612383
"unbalanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",100,1000,25,0.15135560456095,0.0132235010903032,0.124908602380343,0.177802606741556
"unbalanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",500,1000,25,0.111380721020849,0.00341079533875176,0.104559130343346,0.118202311698353
"unbalanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",1000,1000,25,0.108535493745309,0.00195407775110189,0.104627338243105,0.112443649247513
"unbalanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",2000,1000,25,0.10724884463573,0.00157608897068936,0.104096666694351,0.110401022577109
"unbalanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",100,2000,25,0.131917280386258,0.0166622505273585,0.0985927793315406,0.165241781440975
"unbalanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",500,2000,25,0.0875334982902131,0.00384973783023981,0.0798340226297334,0.0952329739506927
"unbalanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",1000,2000,25,0.0814487240279267,0.00234673487414029,0.0767552542796461,0.0861421937762072
"unbalanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",2000,2000,25,0.0797954004190918,0.00199196685256585,0.0758114667139601,0.0837793341242235
"unbalanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",100,250,25,0.415004135942115,0.148240373557959,0.118523388826197,0.711484883058032
"unbalanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",500,250,25,0.230751178405803,0.00788527554845636,0.21498062730889,0.246521729502715
"unbalanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",1000,250,25,0.225674678819752,0.00729988442584107,0.21107490996807,0.240274447671434
"unbalanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",2000,250,25,0.247008632424544,0.0129178714467267,0.221172889531091,0.272844375317998
"unbalanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",100,500,25,0.331290193171352,0.133179685803494,0.0649308215643645,0.59764956477834
"unbalanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",500,500,25,0.169345129243426,0.00650832258869989,0.156328484066027,0.182361774420826
"unbalanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",1000,500,25,0.162148416383292,0.00427578653842003,0.153596843306451,0.170699989460132
"unbalanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",2000,500,25,0.15908559119106,0.00287869363014338,0.153328203930773,0.164842978451347
"unbalanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",100,1000,25,0.286687297351295,0.137406754034407,0.0118737892824808,0.561500805420109
"unbalanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",500,1000,25,0.126861486251028,0.00744252222388491,0.111976441803258,0.141746530698798
